kyc_pan,kyc_aadhar_verified,kyc_gst_returns_last_3y,kyc_gst_turnover,kyc_mcc_code,kyc_company_name,kyc_date_of_incorp,kyc_mca_returns_count,kyc_mca_returns_amount,cibil_credit_health,cibil_credit_mix_ratio,cibil_payment_history_12m,cibil_default_count,cibil_bounce_count,cibil_loans_closed,cibil_consolidated_monthly_emi,cibil_individual_loans_0_emi_amount,cibil_individual_loans_0_tenure_left_months,cibil_individual_loans_1_emi_amount,cibil_individual_loans_1_tenure_left_months,cibil_individual_loans_2_emi_amount,cibil_individual_loans_2_tenure_left_months,cibil_individual_loans_3_emi_amount,cibil_individual_loans_3_tenure_left_months,cibil_credit_age_months,bank_total_outflow,bank_total_inflow,bank_emi_count,bank_aggregated_emi_amount,bank_monthly_salary,bank_income_to_emi_ratio,bank_monthly_inflow_pattern_2025-01,bank_monthly_inflow_pattern_2025-02,bank_monthly_inflow_pattern_2025-03,bank_monthly_inflow_pattern_2025-04,bank_monthly_inflow_pattern_2025-05,bank_monthly_inflow_pattern_2025-06,bank_monthly_inflow_pattern_2025-07,bank_monthly_inflow_pattern_2025-08,bank_monthly_inflow_pattern_2025-09,bank_monthly_inflow_pattern_2025-10,bank_monthly_inflow_pattern_2025-11,bank_monthly_inflow_pattern_2025-12,bank_monthly_inflow_pattern_2024-01,bank_monthly_inflow_pattern_2024-02,bank_monthly_inflow_pattern_2024-03,bank_monthly_inflow_pattern_2024-04,bank_monthly_inflow_pattern_2024-05,bank_monthly_inflow_pattern_2024-06,bank_monthly_inflow_pattern_2024-07,bank_monthly_inflow_pattern_2024-08,bank_monthly_inflow_pattern_2024-09,bank_monthly_inflow_pattern_2024-10,bank_monthly_inflow_pattern_2024-11,bank_monthly_inflow_pattern_2024-12,bank_monthly_inflow_pattern_2023-01,bank_monthly_inflow_pattern_2023-02,bank_monthly_inflow_pattern_2023-03,bank_monthly_inflow_pattern_2023-04,bank_monthly_inflow_pattern_2023-05,bank_monthly_inflow_pattern_2023-06,bank_monthly_inflow_pattern_2023-07,bank_monthly_inflow_pattern_2023-08,bank_monthly_inflow_pattern_2023-09,bank_monthly_inflow_pattern_2023-10,bank_monthly_inflow_pattern_2023-11,bank_monthly_inflow_pattern_2023-12,bank_annual_inflow_outflow_2025,bank_annual_inflow_outflow_2024,bank_annual_inflow_outflow_2023,investments_mutual_fund_value,investments_nps_value,investments_pf_value,investments_equity_value,itr_annual_income,itr_itr_filed,itr_filing_consistency_3y,service_record_employment_years,service_record_job_changes,insurance_insured,insurance_insured_amount,labels_user_behavior_shift,labels_ability_to_default,labels_default_timeframe_months,labels_financially_secure
LCRXY9804I,True,14,0.0,5999,,2019-08-28,0,0.0,769.8,0.62,0.93,0,1,4,12003.08,19995.41,12,13020.25,54.0,15113.65,53.0,21140.45,37.0,65,3142536.25,3810765.58,3,35962.68,104739.18,0.34,122212.98,114465.47,86358.21,92634.68,98774.12,98438.16,84909.16,115805.0,92148.34,110778.46,120678.92,121547.8,87986.87,108120.8,114264.75,123359.77,112661.07,97748.35,120936.67,105931.42,98317.28,88231.88,84979.49,96480.73,99771.05,124977.11,100655.92,107559.07,121689.73,101713.44,96913.92,112438.95,98132.61,123538.29,116096.47,109508.63,1.186,1.214,1.238,70474.52,69463.41,1013811.3,3391004.59,1223672.39,True,0.75,6.8,0,True,5632225.56,Promising,Low,36,True
FXOUH5884X,True,27,0.0,8021,,2016-05-19,0,0.0,651.4,0.5,0.78,0,0,0,33917.57,13575.84,55,22130.4,41.0,20146.87,28.0,46592.59,28.0,56,898170.0,1078081.23,1,17201.82,30274.36,0.57,36156.82,30433.99,35187.01,33163.16,24818.82,24649.82,29022.81,34211.84,33926.14,31301.91,25118.87,26912.42,25407.11,36231.33,24648.1,33170.36,29578.02,30778.34,25920.61,28119.3,27722.7,34386.91,26119.06,34739.51,32921.39,24286.03,29954.76,32612.83,24358.96,34707.24,32574.06,26516.56,35904.38,31466.91,25406.72,25646.45,1.188,1.194,1.221,67604.68,97254.6,1207217.66,931411.81,323873.93,True,0.96,20.6,3,True,4146872.3,Stable,Medium,12,False
TXTZF7619S,True,28,0.0,5812,,2019-11-09,0,0.0,807.8,0.61,0.88,0,1,1,35606.38,18630.32,23,36351.95,48.0,36230.87,37.0,28888.61,53.0,97,5646564.14,6856327.22,6,66738.36,183964.86,0.36,165035.01,199205.26,195473.52,219042.48,179146.29,167155.22,215829.86,180002.73,163441.1,213090.08,152453.74,192653.66,166292.33,197821.51,169890.83,155263.66,160082.71,199245.5,219048.35,169408.81,199559.74,202255.74,192916.25,216211.63,202560.03,159005.4,219638.32,214155.58,220323.72,214810.16,163044.82,216577.79,176988.09,181334.13,194741.92,202621.25,1.246,1.206,1.193,163167.92,302958.55,1161250.11,4129495.87,1594524.62,True,0.86,13.6,0,True,6539354.49,Promising,Low,36,True
HJARX7813B,True,16,0.0,5411,,2020-07-01,0,0.0,672.3,0.44,0.73,0,0,3,30860.8,45488.7,22,,,,,,,125,1278803.94,1544172.92,4,13095.14,41917.39,0.31,48279.97,46633.25,39597.22,39841.11,35673.74,37156.36,40801.61,46697.49,45218.46,42052.96,34430.23,38525.67,46797.57,35363.1,43873.37,45833.36,41588.83,38130.09,45432.13,38313.72,46759.56,41353.07,46579.18,42352.14,48208.39,45569.01,50010.76,44906.81,45587.5,49200.52,34892.03,44639.09,39043.6,46798.43,39935.67,48096.92,1.209,1.196,1.217,142154.15,1755.1,336019.23,924549.58,759292.22,True,0.83,9.9,4,True,9921654.98,Stable,Medium,12,False
ZYRWH9674S,True,5,0.0,7011,,2020-12-31,0,0.0,850.0,0.5,0.91,0,3,1,38622.71,40301.29,48,48637.03,8.0,24764.6,15.0,,,127,3244074.16,4014228.5,6,33665.14,108409.62,0.31,97551.87,91852.65,129712.49,125336.56,123984.64,101322.27,94874.41,115326.45,103089.59,111620.97,89927.98,90704.34,123692.13,126271.66,106545.56,98749.52,125567.69,115831.37,111619.17,114906.0,119203.44,102955.54,97906.5,128081.18,108058.19,119201.32,105990.02,121712.3,109884.58,125041.03,129350.3,101701.06,129731.24,111711.86,92139.42,113073.2,1.23,1.226,1.256,1307732.65,3784.31,3273938.42,1020145.03,997228.66,True,0.81,11.8,0,True,9375324.09,Promising,Low,36,True
NTHZB2824S,True,30,98452269.77,5812,Nori-Brar,2019-12-28,7,252581.93,811.5,0.72,0.86,1,9,1,284495.78,8990.98,34,19879.18,6.0,,,,,103,10684906.79,12619253.36,1,222443.7,357779.42,0.62,423292.11,407643.97,314077.76,339893.77,309356.81,291719.75,322185.99,428167.85,383675.94,321571.03,338130.76,402132.43,324722.68,333415.28,375548.41,413885.85,415329.21,294107.08,357998.75,334340.5,293955.49,411186.59,364424.31,287613.82,299348.13,411251.3,389696.49,347485.07,317462.36,339486.14,332857.37,327526.13,419057.89,299372.91,354532.1,292801.33,1.204,1.161,1.178,1154236.56,1295039.56,8481108.51,17277294.51,5439508.67,True,0.96,10.9,1,True,509343.18,Promising,Medium,12,False
CLZEB7982O,True,35,0.0,5411,,2017-06-20,0,0.0,753.5,0.52,0.93,0,2,1,34447.03,41798.12,32,47785.63,12.0,,,,,15,1460218.0,1757865.15,3,25232.15,50165.8,0.5,60105.26,47528.69,44527.42,55732.52,42786.18,43438.96,41681.43,43191.85,51082.66,43003.02,46311.04,44535.98,40748.67,47623.7,49340.88,55573.58,53759.48,41800.61,47658.13,43298.64,40768.36,41479.51,53608.9,51936.06,47161.23,58792.49,41830.92,50747.59,43047.81,54536.74,56679.39,48989.88,53827.73,54881.69,58606.2,57241.95,1.187,1.206,1.217,116011.0,60818.45,900817.15,248366.31,794667.78,True,0.85,19.3,5,True,5017612.28,Promising,Medium,12,False
XFFSK9221S,True,17,0.0,7011,,2016-09-30,0,0.0,678.7,0.62,0.78,0,0,1,27744.28,12878.88,19,46441.52,56.0,28642.14,60.0,,,119,1357041.01,1596946.93,5,17166.08,42881.12,0.4,46890.94,37326.24,44308.11,37280.23,47533.17,51003.35,46701.28,42285.32,36242.53,37863.06,36774.26,41976.98,45798.97,46395.9,50750.68,50122.27,40215.79,43813.4,40808.59,49845.02,46340.77,44641.41,36745.67,42752.03,50095.45,51379.91,42912.57,39925.1,43738.48,39442.38,50302.36,49450.42,49898.84,40662.8,44447.58,50275.08,1.142,1.219,1.17,299545.33,95135.99,319690.52,1112149.59,563366.28,True,0.96,1.8,4,False,0.0,Stable,Medium,12,False
GEAUG9153Y,True,6,0.0,5045,,2023-02-23,0,0.0,454.7,0.49,0.53,0,2,1,24261.99,43392.31,53,6453.6,37.0,,,,,86,845060.02,1042621.08,4,33762.12,29236.89,1.15,27325.68,23905.08,24817.68,31292.52,30162.18,30696.82,26866.6,24787.61,27597.95,24031.89,31845.65,27561.84,32218.21,33273.23,31046.41,27751.34,32870.44,32976.11,29026.04,26684.85,27712.65,33632.33,31721.56,26967.39,27227.35,25706.62,26731.09,25198.39,31560.34,33038.92,27992.45,33625.86,25691.8,33111.67,29817.27,26147.24,1.205,1.241,1.255,195670.34,148679.84,123741.86,166325.54,538593.5,True,0.68,3.2,5,True,2813464.78,Unstable,High,2,False
OQXYT3550I,True,4,0.0,5734,,2015-10-31,0,0.0,700.6,0.49,0.45,0,3,6,9131.68,44989.08,16,,,,,,,150,1147643.68,1355059.32,1,21954.49,37585.12,0.58,33871.67,32091.39,30456.12,34177.91,31819.96,30345.32,44029.57,32882.21,40815.56,44075.11,42064.06,36875.86,31337.68,39585.21,43373.2,30608.86,39339.57,40665.4,39178.76,40160.64,32451.35,42274.5,41531.05,38348.03,38909.95,34373.83,40139.62,35169.72,44743.85,44200.25,32151.98,41541.89,41696.35,34138.93,31339.09,44294.87,1.193,1.162,1.188,270271.74,197229.27,809038.83,227420.93,490685.29,True,0.83,4.9,3,False,0.0,Promising,Medium,12,False
